fairness,satisfaction,redist1,redist2,redist3,redist3R,redist4,redist4R,Sup4R,Household_Income,age,gender,Population_Inequality_Gini_Index,Population_Mean_Income,Social_Circle_Inequality_Gini_Index,Social_Circle_Mean_Income
3,3,3,5,2,5,5,2,3.75,22000,61,2,40.47145735,44670,22.00626305,71850
1,1,3,4,1,6,3,4,4.25,23000,56,2,46.88854489,48450,47.97883598,56700
1,1,6,6,1,6,1,6,6,24000,25,2,43.08009153,26220,19.43589744,23400
4,4,2,2,5,2,4,3,2.25,24000,25,1,39.52552553,49950,37.50609756,24600
1,1,6,6,1,6,1,6,6,24000,42,2,43.77850163,46050,27.33980583,30900
2,2,4,5,1,6,2,5,5,24000,25,1,39.34166403,47415,19.671875,19200
3,4,4,3,3,4,3,4,3.75,24000,25,1,44.42526072,64725,41.95150115,51960
1,1,6,6,1,6,1,6,6,25000,44,2,33.83489681,79950,29.5384376,96390
1,1,6,6,5,2,2,5,4.75,25000,44,2,39.27769572,50775,45.10882957,58440
3,3,2,2,1,6,5,2,3,25000,52,2,27.10471204,28650,14.59259259,32400
2,3,4,5,2,5,4,3,4.25,25000,25,1,45.55423637,55590,21.76997579,30975
5,5,3,3,3,4,4,3,3.25,25000,24,2,41.6,50250,24.63669725,40875
1,1,6,5,2,5,2,5,5.25,25000,54,2,40.12313938,55425,40.85333333,33750
3,3,4,6,1,6,4,3,4.75,25000,31,1,47.72412765,50295,13.47129077,32655
1,1,3,5,1,6,3,4,4.5,25000,23,1,36.07880911,42825,17.2173913,17250
4,7,5,4,1,6,2,5,5,25000,32,2,29.50916497,36825,39.18423678,45105
1,1,6,4,1,6,2,5,5.25,25000,25,1,49.94573643,58050,25.09859155,21300
7,7,5,5,2,5,2,5,5,25000,34,2,16.17391304,31050,22.47619048,28350
4,5,2,2,2,5,5,2,2.75,25000,35,1,44.73498233,84900,47.06493506,46200
1,2,4,5,3,4,2,5,4.5,25000,23,1,40.72522523,46620,17.01382488,19530
1,1,3,6,1,6,1,6,5.25,26000,26,2,38.22410682,41565,27.92840647,25980
1,1,4,5,3,4,3,4,4.25,26000,36,1,36.75862069,43500,27.67664671,25050
2,3,4,4,3,4,4,3,3.75,26000,26,1,37.48982072,49365,16.87613543,90825
3,3,5,5,1,6,3,4,5,28000,50,1,45.77234803,62925,23.25,36000
3,3,4,5,1,6,1,6,5.25,28000,49,1,27.28912467,45240,31.73930269,37860
4,4,4,4,3,4,4,3,3.75,28000,27,1,31.28062706,77505,25.05874674,45960
